landcover_propforest,landcover_prophighshrub,landcover_proplowshrub,landcover_propreed,landcover_propsaltmarsh,landcover_propswamp,lidar_C_ppr,lidar_HH_reedveg_prop,lidar_HH_sd,lidar_HH_sd_low,lidar_VD_1_2,lidar_VD_2_3,lidar_VV_kurt,lidar_VV_p25,lidar_VV_std,optical_NDVImed,optical_NDVIsd_hor_100m,optical_NDVIstd,radar_VHsd_hor_100m,radar_VHstd,radar_VVmax,radar_VVstd,occurrence,x,y
86.40660095,0,0,42.89199829,30.96347237,0,0.974186301,4,6.557920456,0.897878647,0,0,-0.841788054,5.015999794,1.14073503,0.65503943,0.057181541,0.107554801,2.533163548,1.899587989,-6.945439339,2.23091507,0,211836.4313,502671.1844
0,0,0,0,3570,40.21482086,0.962154269,4,0.285120726,0.285120726,0,0,1.914065838,0.162249997,0.174471334,0.379227668,0.087800756,0.064468101,1.67316258,3.113925695,-6.434456825,1.936148643,0,220497.8405,603093.5733
86.77946472,0,0,0,0,0,0.977661967,4,0.711551011,0.468436092,0,0,-0.239733145,0.130999997,0.020666774,0.627271295,0.215445921,0.14936021,2.183216572,3.284733295,0.789888501,3.477352381,0,202724.2526,430494.2402
384.5740356,332,0,209.6320038,0,3072.092041,0.837387085,43,3.16385293,1.213163972,0.070512824,0,5.97341013,0.175750002,0.320221037,0.531881809,0.054791249,0.161407575,1.229729533,2.375456095,-6.409584522,1.920589924,0,175075.7998,441583.6169
43.20199966,0,0,0,0,0,0.453964204,0,0.129954278,0.129954278,0,0,0.152303711,0.126000002,0.083994977,0.549396634,0.044931285,0.060077835,0.557586193,2.709398746,-8.712970734,2.542238712,0,246371.0363,582158.287
0,0,0,3312.381836,0,3596.252197,0.352629423,109,0.319681913,0.319681913,0.316730529,0.121328227,-0.887414575,0.344999999,0.720315337,0.140707031,0.092848472,0.228347585,1.615956068,2.798266888,-6.840787888,2.415214062,0,168670.1294,486878.4575
168.7440948,0,0,250.8800049,30.47999954,1312.135864,0.87176168,15,4.461163044,0.315170586,0,0,-0.51797539,0.230000004,0.143991172,0.697452843,0.036881931,0.106371559,0.480236858,2.541265249,-7.563482285,2.145455122,0,240678.4721,577434.3222
215.8912048,0,0,128.8619995,0,0,0.997340441,9,6.482596874,1.315548301,0,0,-2,0.152500004,0.007,0.708021462,0.044120096,0.048379686,1.651355505,2.602425814,-8.584443092,2.223709106,0,245057.5645,532304.2138
0,0,0,0,0,0,0.876254201,5,0.656737328,0.656737328,0,0,5.902410507,0.194000006,0.074655496,0.540983796,0.0274009,0.035207294,0.936589837,3.099170208,-8.654572487,2.490716696,0,237945.4601,546251.5426
0,0,0,0,0,0,0.764139593,8,0.252385318,0.252385318,0,0,-0.41037941,0.232749999,0.180875182,0.482476473,0.026191402,0.094986685,0.379288375,2.205284119,-6.740531921,2.718810797,0,231838.0529,574988.3053
